FirstPeakMagnitude,RMSValue,Mean,Max,Variance,Energy,FirstPeakFrequency,TimeOfFlight,HumanLabel
5078.822986946396,13723.145281152736,1669.5962430944467,353152.3385586392,185537164.79266953,1541249479080.0,215.2622657598636,0.0027405247813411075,1
4507.471826099042,12472.64250140049,1537.891087908249,328261.1817961452,153201701.96947432,1273158780959.9998,202.2430897859862,0.0027405247813411075,1
4529.22641464123,13712.688748797867,1625.0097542356982,346205.2732473772,185397176.02004647,1538901622992.0,259.49179509577596,0.0027405247813411075,1
4599.375680375937,23521.116698150323,6317.788759312834,559227.4791423726,513328475.92070633,4527740145078.0,184.6705461876833,0.014927113702623908,1
6490.0644572245355,12795.663872401614,1661.938572695766,442462.3947529954,160966974.1160698,1339958250048.0,55.90193922143638,0.014868804664723031,1
77351.33466568265,13264.295784431659,1624.590870965166,322707.4151692133,173302247.15886816,1439905585104.0,54.61265884652981,0.002857142857142857,1
15252.005555760654,16618.668703421936,1878.183643338585,553795.7656828584,272652575.67599106,2260258343295.9995,160.8447853622013,0.0027405247813411075,1
3476.3470714144246,13783.957452507664,1692.830697958065,375040.45919172757,187131807.28059232,1554939401302.0,257.50237738535424,0.0026822157434402334,1
6281.8368408577335,13595.207628278862,1685.813596517291,336384.0658539969,181987702.97380912,1512646023012.0,101.90761932083811,0.0026822157434402334,1
220033.89269231746,13158.379772006132,1677.0628914280214,295508.641813212,170330418.28253523,1417001970107.9998,50.09261714606601,0.0027405247813411075,1
8213.017958781891,11207.89748343849,1432.3930248912682,279185.14410428185,123565216.2215097,1028049249737.9999,98.27267126914303,0.0027988338192419825,1
4008.4619213714595,16309.40379094616,1935.5834413584223,399548.12910155574,262250168.7576681,2176916600099.9995,207.18634451102895,0.0026822157434402334,1
4476.994370451891,14612.099236129976,1742.3597433471964,365676.54976309056,210477626.6112733,1747394026403.9998,258.52737579157633,0.0026822157434402334,1
5428.11547317399,15358.468792765692,1848.7895799990329,370039.8138760051,232464540.74724475,1930462900979.9993,258.52737579157633,0.0026822157434402334,1
4678.674210489079,15524.298993984983,1910.5207385997476,379855.97705309064,237353769.76202348,1972375584139.9998,468.35593841642225,0.0026239067055393588,1
6799.771484482878,14112.020137897835,1719.4917380279376,350885.6241570139,196192460.53528768,1629836335656.0,102.31761868332694,0.0026822157434402334,1
12034.19809009681,20072.025682575113,2216.755094782945,492800.5650353202,397972211.8517087,3297220783575.999,207.59938090583253,0.0026239067055393588,1
5682.45473319895,12095.661761351243,1514.7022552427936,276428.48771279375,144010710.52297702,1197360393714.0,203.6698487968221,0.0027405247813411075,1
217445.14813457272,12667.482187993704,1649.5991605570714,282921.3644963,157743927.5926272,1313246419181.9995,50.49389311786361,0.0027405247813411075,1
13711.893511696586,13563.605740754037,1668.83878451486,317006.3751590094,181186377.80191478,1505621943252.0002,103.17251097106968,0.0027405247813411075,1
4983.971477594168,24080.595742420344,6663.324604164595,614850.6264409844,535475196.5294075,4745697747279.999,143.80727639296188,0.014927113702623908,1
6304.816711684627,12848.354766516066,1596.4148973585536,309225.93300375727,162531679.68174782,1351016522167.9998,206.34502194213937,0.0027405247813411075,1
3895.2469818430077,1467.6750999198466,373.69950287942066,67915.0,2014418.8804724046,17628910508.000004,1159.8881964809386,0.0027988338192419825,1
236857.9037341317,13088.424920229061,1587.6775551532764,302669.3258168715,168786146.87333563,1401975398647.9998,49.747538387911376,0.0027988338192419825,1
205234.5812245093,13233.295869358564,1846.4057748445214,417430.74819677346,171710905.2806032,1433183058528.0002,19.394131063960288,0.014868804664723031,1
