FirstPeakMagnitude,RMSValue,Mean,Max,Variance,Energy,FirstPeakFrequency,TimeOfFlight,HumanLabel
4945.735303207818,42375.339323482745,6027.710436534941,930260.5520857256,1759336089.6735907,14695758228674.002,175.89938979235166,0.005772594752186589,0
4178.207974262027,35020.03827604378,5407.071780258732,814449.7039612484,1197166655.6187015,10036882813721.998,351.3685239491691,0.005714285714285714,0
4542.49240678972,44277.965445320864,6447.973932031133,975149.2688952744,1918961856.148875,16045044825028.0,176.0475601567977,0.005772594752186589,0
6251.449597150723,35566.54122076818,5465.556824401523,827441.6447834913,1235106543.0078402,10352586944479.998,439.2106549364614,0.005714285714285714,0
66571.06982180223,42653.06094049233,6167.637318328633,940328.8285974362,1781243857.5029128,14889017044543.998,88.24603562506789,0.005772594752186589,0
35014.409458374466,36298.52537450573,5790.123812372561,840114.751849433,1284057410.6010323,10783098816671.998,439.10373900293257,0.005714285714285714,0
7586.539977690845,43721.159128890926,6163.963757670111,962989.6931840689,1873545306.3679316,15644041359616.0,352.56079860185434,0.005772594752186589,0
4971.556327869681,37299.0454873886,5620.937647825734,868752.3853779103,1359623854.229539,11385734612308.0,351.41129032258067,0.005714285714285714,0
224804.38560955334,44077.99580532582,6463.707563930781,963858.2084015216,1901090198.7423048,15900445741130.0,87.82269172665067,0.005772594752186589,0
4098.308701825264,35368.089191883744,5433.333374537804,824593.043136917,1221380621.5261776,10237379783567.998,439.15719696969694,0.005714285714285714,0
7183.26841215221,43292.54112587278,6160.807514162989,953887.0078692571,1836288567.9088194,15338813854636.0,351.92578275422846,0.005772594752186589,0
5072.078321865914,35893.849365554626,5660.645189876849,834391.1526664896,1256325518.31145,10544007167916.0,263.36601906158353,0.005714285714285714,0
11157.71770594265,46562.056873145804,6522.842484740644,1023826.9554230686,2125477666.1773264,17743117747871.996,175.89938979235166,0.005772594752186589,0
9372.591929980685,38138.61396959772,5692.891105114032,889137.0014941811,1422144866.3873074,11904068917272.0,614.4458699902249,0.005714285714285714,0
6168.608769037672,46008.304284664664,6691.512741290494,1008635.0457371876,2071987720.3834405,17323597092821.998,175.81472101266823,0.005772594752186589,0
3804.9860583205464,38007.6165705108,5766.887931350557,884574.0651151009,1411321920.9582107,11822433859763.996,175.40628054740958,0.005714285714285714,0
4043.2401027593573,43314.17893330851,6322.926610285872,948086.1515139199,1836138695.7476058,15354150503120.0,351.24843251676094,0.005772594752186589,0
220254.60002104318,35096.81408046852,5563.174538102085,810367.8405902868,1200837447.657586,10080939558773.998,87.99181329423264,0.005714285714285714,0
6408.916607419679,43686.22779418738,6505.760584569306,952889.7859069327,1866161578.1018946,15619053506879.998,351.46010446596955,0.005772594752186589,0
7522.128561289394,36913.31190126124,5665.458590230842,858715.0336879554,1330495174.4821744,11151457801733.998,352.1383186705768,0.005714285714285714,0
53286.21044753106,42145.21587717664,6110.413212658496,920891.9202448127,1738882071.7043903,14536578107395.998,87.84385892157154,0.005772594752186589,0
101312.81664554751,34689.18183516242,5612.059197331872,799796.0008742095,1171844127.9586043,9848129129040.0,175.8339442815249,0.005714285714285714,0
5317.927669252407,42926.95990625535,6203.533817760057,939336.2762646751,1804240054.9651625,15080852289515.996,351.58710763549476,0.005772594752186589,0
6504.821481111942,35701.16219702764,5622.593990126621,829516.0764257316,1242959419.0406673,10431105286476.004,351.53958944281527,0.005714285714285714,0
215219.56173454568,36727.177330196435,5571.472236252682,853380.1398492672,1317844251.7643604,11039279379203.998,88.0345796676442,0.005714285714285714,0
12453.627154031057,39459.05874142573,6207.923974268128,914226.7574343183,1518478996.6889935,12742629720358.0,175.4490469208211,0.005714285714285714,0
3912.282273161797,37477.05481751748,5572.251257349604,873103.2170279935,1373479653.7201762,11494670555716.0,350.94086021505376,0.005714285714285714,0
8789.95032804473,44299.49481925778,6316.353272882353,971192.8015551706,1922548922.5735948,16060651854320.0,263.97608785805267,0.005772594752186589,0
6632.555391917436,43068.10677729517,6286.747105778031,943468.3410117347,1815338632.2084897,15180189146177.996,352.34912665264574,0.005772594752186589,0
14733.634486555287,38094.25215826283,5998.714613101343,881352.3546819526,1415187470.4878764,11876392036718.004,1318.7545821114368,0.005714285714285714,0
27764.424202083243,46041.78662829256,6596.121533654756,1002626.5439092501,2076337296.6384761,17348820612731.996,342.40054503984123,0.005772594752186589,0
7216.614755469045,35262.09688512681,5545.142578132209,817975.8883954564,1212666870.5242553,10176112261607.998,175.74841153470186,0.005714285714285714,0
6395.81976876569,45552.233473580345,6807.911945277794,995231.1052370716,2028658309.3769178,16981848894748.0,176.06872735171854,0.005772594752186589,0
6528.195284795242,35887.878388070945,5565.656666510278,831986.8691504649,1256963281.0674992,10540499447572.0,174.97861681329422,0.005714285714285714,0
208541.46154716017,36197.14346014733,5414.523998498378,839764.1152400187,1280916124.544172,10722948465216.0,87.93835532746823,0.005714285714285714,0
6049.479403386686,36552.72404177149,5821.404808037443,844528.7524770721,1302212880.9348586,10934655779807.998,439.3175708699903,0.005714285714285714,0
6355.92379307641,43392.94991081065,6287.444400369746,950327.4535823863,1843416144.87438,15410047266458.002,351.841113974545,0.005772594752186589,0
3898.5561526288966,36862.378395030566,5651.207734730926,855684.7502282957,1326898792.0773337,11120705156639.998,351.19745845552296,0.005714285714285714,0
4588.3019217648125,44656.06296093584,6548.797379641619,978917.7011014684,1951277212.0514646,16320237841855.998,352.0104515339119,0.005772594752186589,0
226375.89298267174,35838.702255627875,5621.086181152748,831097.9488890999,1252815969.5115998,10511632549544.0,88.05596285434996,0.005714285714285714,0
4736.351525795801,44389.06340208223,6287.753315607573,973090.4677993214,1930853107.9561417,16125663164459.998,352.1797890932789,0.005772594752186589,0
6674.706084997454,35576.36808206477,5650.122289422624,823390.6886672246,1233754084.0251265,10358308473011.998,351.7534213098729,0.005714285714285714,0
4481.025370700679,44690.74714070987,6346.291239499558,979285.7869444526,1956987467.498319,16345599409877.998,440.33057234120287,0.005772594752186589,0
189151.77307699595,37651.11728704223,5906.046676809474,871924.3049184387,1382725245.6139576,11601692684166.002,175.8339442815249,0.005714285714285714,0
5495.7011661057395,44672.042277154476,6586.656512447658,976773.0101459954,1952207317.1989076,16331919700157.998,176.34390088568975,0.005772594752186589,0
5752.019301317713,36223.72107198645,5599.347679622528,841802.6292093642,1280805273.863781,10738700812576.0,175.8339442815249,0.005714285714285714,0
