FirstPeakMagnitude,RMSValue,Mean,Max,Variance,Energy,FirstPeakFrequency,TimeOfFlight,HumanLabel
1462.236362812538,5092.603325458676,1616.9944182733882,29465.0,23319937.68174549,1089253562.4798565,397.2242647058823,0.009329446064139942,1
1592.1199159227651,5296.311260386174,1709.450600426564,30611.0,25128691.611594636,1178138344.609522,397.2242647058823,0.009329446064139942,1
1755.2967253752893,5160.509189095695,1670.2159005148594,29647.0,23841233.93640844,1118495913.8111265,534.6764705882352,0.009329446064139942,1
2064.896568827941,5230.120712997823,1714.719395261173,30010.0,24413900.068044003,1148874832.2462118,467.84191176470586,0.009329446064139942,1
1969.093517285969,4736.34046529502,1685.585661280111,26724.0,19591721.98167795,942182682.1340241,397.2242647058823,0.009329446064139942,1
1226.3075815858194,4579.821486674927,1552.6210937863475,25887.0,18564132.588939022,880940123.691992,432.5330882352941,0.009329446064139942,1
1147.7965079819758,4704.403892349379,1575.8704178041492,26237.0,19648048.40864176,929519471.2587835,432.5330882352941,0.009329446064139942,1
1269.7573243749052,4922.244265809019,1618.992572524756,27763.0,21607351.66239944,1017596521.7161705,423.7058823529412,0.009329446064139942,1
1012.0572404778302,4819.703434492918,1561.9291920064493,27338.0,20789918.39562091,975640730.2514386,432.5330882352941,0.009329446064139942,1
848.8254143235592,4717.628711008598,1542.7706101901695,26843.0,19875879.4992661,934752867.5071709,432.5330882352941,0.009329446064139942,1
836.7213335032309,4597.251859968195,1503.5510318971017,26042.0,18874058.958462186,887658435.8872031,432.5330882352941,0.009329446064139942,1
849.3068894852704,4476.394140934662,1474.6706704448497,25421.0,17863450.918723896,841600389.209755,432.5330882352941,0.009329446064139942,1
820.7713016909904,4394.426008667019,1450.5113419804995,24716.0,17206996.79243507,811061157.7172642,432.5330882352941,0.009329446064139942,1
535.728506901384,4433.592814372949,1535.4232754638633,24634.0,17299220.60882326,825583300.2336966,605.2941176470588,0.009329446064139942,1
1033.9180482473648,4478.489578779409,1549.6695122032643,24891.0,17655393.310183465,842388494.1039026,423.7058823529412,0.009329446064139942,1
1069.7841026104038,4469.911623432952,1573.5031984248421,24762.0,17504197.605847806,839164616.6946424,423.7058823529412,0.009329446064139942,1
1016.3787523682641,4261.403006263292,1488.0187629496347,23633.0,15945355.742899666,762701334.4351726,432.5330882352941,0.009329446064139942,1
1255.1008366610533,4413.808043078679,1571.066866837973,24262.0,17013450.34106995,818231460.5281335,423.7058823529412,0.009329446064139942,1
488.2804664423814,4628.112319108293,1653.5255694653601,25543.0,18685276.829406194,899615792.8078417,741.4852941176471,0.009329446064139942,1
1404.2926096512576,4561.9610045567,1605.6974684447064,25238.0,18233223.846926227,874082504.6980307,423.7058823529412,0.009329446064139942,1
1442.3568767774925,4549.351349627532,1609.0729169573651,25238.0,18107482.05027216,869257103.4990296,423.7058823529412,0.009329446064139942,1
1667.7607238254818,4748.4661780116885,1640.0056161881232,26404.0,19858312.622592345,947013103.8362792,429.846547314578,0.009387755102040816,1
392.364625625765,4637.730971818966,1649.4515429779142,25918.0,18787858.17433668,903359039.8126936,751.9181585677749,0.009387755102040816,1
316.53327764183246,4758.068068173337,1633.8670250751754,26780.0,19969690.28574275,950846893.1375717,751.9181585677749,0.009387755102040816,1
318.1214668031444,4713.440797017858,1610.0834783189832,26733.0,19624155.33983659,933094014.1736783,751.9181585677749,0.009387755102040816,1
287.7425149705873,4751.912897838508,1609.7522025901283,27056.0,19989374.034900196,948388399.9230465,751.9181585677749,0.009387755102040816,1
287.7425149705873,4751.912897838508,1609.7522025901283,27056.0,19989374.034900196,948388399.9230465,751.9181585677749,0.009387755102040816,1
276.2473897005139,5190.888650575466,1686.3583558836046,29748.0,24101520.478214733,1131703649.2722738,736.8797953964195,0.009387755102040816,1
315.31001056251824,4957.958243780082,1635.7571187072244,28510.0,21905648.595665514,1032416697.7768087,756.6176470588234,0.009329446064139942,1
344.3398969521494,5083.23773580583,1648.7118823634044,29250.0,23121055.0076741,1085250846.906256,756.6176470588234,0.009329446064139942,1
338.79006675481276,4956.415918957014,1628.126972301313,28443.0,21915261.323755454,1031774467.991001,756.6176470588234,0.009329446064139942,1
337.2919645722053,4998.360354772944,1614.5970941969558,28704.0,22376682.459576648,1049311461.9189682,756.6176470588234,0.009329446064139942,1
317.8796055133217,4905.063570872847,1572.0475830873766,28234.0,21588315.030813023,1010505242.6407633,786.8823529411766,0.009329446064139942,1
295.77308158501256,4988.799530202482,1611.2607146174294,28670.0,22291959.66207904,1045301071.6070372,756.6176470588234,0.009329446064139942,1
304.6234911874618,5067.530906992726,1610.3941507972024,29081.0,23086500.172404684,1078554518.7197142,756.6176470588234,0.009329446064139942,1
263.50368316290627,5050.063317228015,1605.0491282708192,29031.0,22926956.803849105,1071131859.3365048,756.6176470588234,0.009329446064139942,1
313.01605216798805,5144.8406181608125,1621.7254460589763,29659.0,23839391.563882142,1111714169.4236479,741.4852941176471,0.009329446064139942,1
345.86361899895246,4801.739837580082,1605.3427658206838,27448.0,20479580.07203079,968381629.6477511,756.6176470588234,0.009329446064139942,1
328.6214935118359,4793.039467397416,1605.3737115024692,27476.0,20396002.58244609,964875548.1132307,786.8823529411766,0.009329446064139942,1
337.3817896657575,4821.533008285684,1609.792535305416,27607.0,20655748.543263365,976381583.0995128,786.8823529411766,0.009329446064139942,1
292.3342252142285,5217.153195135041,1655.4652848135117,30069.0,24478122.152285088,1143184873.3833263,786.8823529411766,0.009329446064139942,1
